S.N.,Date,Txns,High,Low,Close,Volume,Turnover,Previuos Close,change in Rs.,Percent Change
Live,2023-10-31,0,585.00,575.00,578.00,12339,7142254.60,580.00,-2.00,-0.34
2,2023-10-30,508,580.00,572.00,580.00,39951,23019064.20,581.00,-1.00,-0.17
3,2023-10-29,500,590.40,579.20,581.00,37365,21737652.60,590.00,-9.00,-1.53
4,2023-10-19,490,596.50,586.00,590.00,66181,39090480.60,589.50,0.50,0.08
5,2023-10-18,423,589.90,573.00,589.50,27895,16287197.70,572.10,17.40,3.04
6,2023-10-17,454,580.00,570.00,572.10,37883,21706060.60,568.00,4.10,0.72
7,2023-10-16,557,578.00,566.50,568.00,30777,17493800.70,566.90,1.10,0.19
8,2023-10-12,608,570.00,560.50,566.90,50839,28714621.30,567.00,-0.10,-0.02
9,2023-10-11,715,570.90,566.50,567.00,58358,33179846.20,569.00,-2.00,-0.35
10,2023-10-10,748,575.00,568.00,569.00,60468,34434414.90,571.80,-2.80,-0.49
11,2023-10-08,1102,593.30,574.50,575.00,92585,53442373.90,581.70,-6.70,-1.15
12,2023-10-05,605,584.60,580.00,581.70,54791,31828814.60,583.80,-2.10,-0.36
13,2023-10-04,538,586.80,580.50,583.80,47450,27683428.30,584.00,-0.20,-0.03
14,2023-10-03,517,589.00,582.10,584.00,47601,27852069.20,583.00,1.00,0.17
15,2023-10-02,639,588.40,579.50,583.00,44667,26055975.90,585.00,-2.00,-0.34
16,2023-10-01,595,591.50,584.00,585.00,37802,22150202.80,591.50,-6.50,-1.10
17,2023-09-27,417,604.00,590.00,591.50,30539,18094488.40,594.00,-2.50,-0.42
18,2023-09-26,418,603.00,592.00,594.00,23327,13863486.10,595.00,-1.00,-0.17
19,2023-09-25,415,598.90,588.00,595.00,50135,29796596.40,592.00,3.00,0.51
20,2023-09-24,603,598.00,586.80,592.00,51424,30396145.50,593.00,-1.00,-0.17
21,2023-09-21,595,603.00,591.00,593.00,38690,23034240.60,589.00,4.00,0.68
22,2023-09-19,452,598.00,586.00,589.00,31416,18493866.50,591.10,-2.10,-0.36
23,2023-09-18,437,592.00,585.00,591.10,36430,21474886.30,593.00,-1.90,-0.32
24,2023-09-17,878,608.00,590.00,593.00,72674,43158916.20,588.00,5.00,0.85
25,2023-09-13,464,590.00,581.00,588.00,40108,23485920.30,584.00,4.00,0.68
26,2023-09-12,491,599.00,583.00,584.00,42149,24816791.50,588.70,-4.70,-0.80
27,2023-09-11,537,589.00,578.30,588.70,70550,41321868.50,580.00,8.70,1.50
28,2023-09-10,605,582.00,577.00,580.00,51489,29857994.80,577.20,2.80,0.49
