,Date,High,Low,Close,Volume,Percent Change
3059,2010-12-16,1157.0,1129.0,1157.0,879,-0.43
3058,2010-12-19,1183.0,1160.0,1183.0,843,2.25
3057,2010-12-20,1206.0,1182.0,1205.0,80,1.86
3056,2010-12-22,1245.0,1205.0,1245.0,608,3.32
3055,2010-12-23,1300.0,1253.0,1300.0,675,4.42
3054,2010-12-26,1377.0,1305.0,1377.0,786,5.92
3053,2010-12-27,1380.0,1351.0,1378.0,2613,0.07
3052,2010-12-28,1378.0,1341.0,1345.0,760,-2.39
3051,2010-12-29,1355.0,1310.0,1310.0,1262,-2.6
3050,2011-01-02,1319.0,1245.0,1319.0,457,0.69
3049,2011-01-03,1324.0,1300.0,1310.0,1921,-0.68
3048,2011-01-04,1328.0,1320.0,1328.0,475,1.37
3047,2011-01-05,1325.0,1310.0,1325.0,419,-0.23
3046,2011-01-06,1314.0,1300.0,1314.0,1019,-0.83
3045,2011-01-09,1310.0,1310.0,1310.0,20,-0.3
3044,2011-01-10,1317.0,1285.0,1317.0,488,0.53
3043,2011-01-11,1325.0,1290.0,1325.0,958,0.61
3042,2011-01-12,1325.0,1300.0,1325.0,266,0.0
3041,2011-01-13,1350.0,1330.0,1330.0,24,0.38
3040,2011-01-16,1330.0,1321.0,1321.0,242,-0.68
3039,2011-01-17,1325.0,1300.0,1300.0,780,-1.59
3038,2011-01-18,1320.0,1310.0,1320.0,525,1.54
3037,2011-01-19,1330.0,1320.0,1320.0,110,0.0
3036,2011-01-20,1335.0,1300.0,1325.0,550,0.38
3035,2011-01-23,1315.0,1301.0,1310.0,274,-1.13
3034,2011-01-24,1336.0,1305.0,1310.0,854,0.0
3033,2011-01-31,1315.0,1310.0,1315.0,1752,0.38
3032,2011-02-01,1336.0,1315.0,1330.0,305,1.14
3031,2011-02-02,1349.0,1321.0,1349.0,294,1.43
3030,2011-02-03,1340.0,1322.0,1326.0,872,-1.7
3029,2011-02-06,1406.0,1350.0,1395.0,687,5.2
3028,2011-02-07,1371.0,1343.0,1343.0,457,-3.73
3027,2011-02-08,1347.0,1336.0,1345.0,368,0.15
3026,2011-02-09,1335.0,1328.0,1331.0,824,-1.04
3025,2011-02-10,1340.0,1325.0,1325.0,401,-0.45
3024,2011-02-13,1350.0,1325.0,1340.0,370,1.13
3023,2011-02-14,1356.0,1330.0,1356.0,722,1.19
3022,2011-02-15,1332.0,1300.0,1320.0,1160,-2.65
3021,2011-02-16,1305.0,1304.0,1305.0,396,-1.14
3020,2011-02-17,1320.0,1301.0,1320.0,678,1.15
3019,2011-02-20,1301.0,1276.0,1298.0,725,-1.67
3018,2011-02-21,1326.0,1273.0,1326.0,598,2.16
3017,2011-02-22,1309.0,1264.0,1309.0,942,-1.28
3016,2011-02-23,1307.0,1250.0,1307.0,1043,-0.15
3015,2011-02-24,1305.0,1275.0,1305.0,512,-0.15
3014,2011-02-27,1280.0,1255.0,1260.0,224,-3.45
